sgRNA	gene	HL60.final	KBM7.final
m52595977	A1CF	883	175
m52596017	A1CF	1554	1891
m52596056	A1CF	566	759
m52603842	A1CF	314	855
m52603847	A1CF	145	266
p52595870	A1CF	1503	1117
p52595881	A1CF	1775	1585
p52596023	A1CF	783	774
p52601638	A1CF	1233	2407
p52603829	A1CF	332	471
m53714382	AAAS	799	1426
m53715169	AAAS	797	1690
m53715176	AAAS	392	664
m53715212	AAAS	429	742
m53715238	AAAS	421	77
p53714367	AAAS	652	469
p53714374	AAAS	856	968
p53714391	AAAS	954	940
p53714405	AAAS	2212	2715
p53714441	AAAS	1093	829
m69870049	AAK1	693	2006
m69870056	AAK1	2234	3515
m69870103	AAK1	914	629
m69870119	AAK1	806	837
m69870125	AAK1	1822	2101
m69870131	AAK1	1411	2637
m69870137	AAK1	512	798
p69870063	AAK1	364	1139
p69870070	AAK1	1790	1682
p69870105	AAK1	922	1118
m35306444	AATF	1396	1402
m35306475	AATF	1102	537
m35306482	AATF	743	311
m35306509	AATF	476	204
m35307516	AATF	995	540
m35307525	AATF	514	291
p35306410	AATF	2494	1101
p35306466	AATF	289	0
p35307505	AATF	1154	481
p35307527	AATF	2761	3255
m79102275	AATK	4568	1109
m79102281	AATK	1736	2651
m79102298	AATK	2538	2676
m79102320	AATK	1932	3223
m79102325	AATK	1874	2030
p79102286	AATK	1844	1624
p79102311	AATK	843	281
p79104850	AATK	507	602
p79104858	AATK	905	852
p79104864	AATK	2244	2543
m150725643	ABCB8	1738	2951
m150725669	ABCB8	1510	1077
m150730720	ABCB8	464	433
p150725600	ABCB8	350	482
p150725605	ABCB8	1396	428
p150725612	ABCB8	1110	685
p150725675	ABCB8	975	2565
p150730680	ABCB8	1012	1108
p150730705	ABCB8	1400	2105
p150730712	ABCB8	999	1004
m16043636	ABCC1	563	817
m16043645	ABCC1	1280	1793
m16101705	ABCC1	1320	1374
m16101777	ABCC1	1487	1117
m16101788	ABCC1	754	857
m16101799	ABCC1	779	1023
p16043597	ABCC1	484	581
p16101667	ABCC1	392	695
p16101710	ABCC1	323	392
p16101721	ABCC1	1399	2741
m30539291	ABCF1	305	871
p30539251	ABCF1	589	647
p30539272	ABCF1	1503	1612
p30545181	ABCF1	2674	3651
p30545587	ABCF1	1055	435
p30545605	ABCF1	692	550
p30545610	ABCF1	2581	2254
p30545638	ABCF1	641	844
p30545878	ABCF1	1687	755
p30545888	ABCF1	701	335
m52004073	ABHD14B	616	546
m52004106	ABHD14B	823	595
m52004113	ABHD14B	1469	905
m52004122	ABHD14B	1559	2275
p52004005	ABHD14B	529	826
p52004011	ABHD14B	1060	1399
p52004019	ABHD14B	268	454
p52004061	ABHD14B	598	324
p52004076	ABHD14B	3286	2836
p52004124	ABHD14B	1254	1988
m27149710	ABI1	1145	574
m27149743	ABI1	1282	1685
m27149751	ABI1	1142	929
m27149764	ABI1	322	470
p27112164	ABI1	1935	2368
p27112174	ABI1	3367	2458
p27112180	ABI1	532	667
p27149695	ABI1	242	324
p27149701	ABI1	2839	1808
p27149733	ABI1	395	348
m133729449	ABL1	2194	1051
m133729456	ABL1	1893	837
m133729467	ABL1	2105	689
m133729488	ABL1	1091	62
m133729532	ABL1	3447	2456
m133729594	ABL1	1802	137
p133729441	ABL1	785	491
p133729469	ABL1	1603	2103
p133729492	ABL1	1616	701
p133729502	ABL1	1071	400
m179100447	ABL2	2465	2558
m179100544	ABL2	868	527
m179100554	ABL2	1451	1761
m179100597	ABL2	1458	1285
p179095768	ABL2	1280	822
p179100489	ABL2	2727	3472
p179100503	ABL2	1579	881
p179100524	ABL2	1198	1935
p179100556	ABL2	1336	813
p179100578	ABL2	871	886
m8108265	ABLIM2	1816	2314
m8108274	ABLIM2	2237	2717
m8108279	ABLIM2	755	1004
m8108294	ABLIM2	2947	3905
m8108316	ABLIM2	245	304
m8160405	ABLIM2	2217	2001
p8108286	ABLIM2	1768	2749
p8108299	ABLIM2	2576	3115
p8108320	ABLIM2	155	410
p8108331	ABLIM2	2079	1885
m26597238	ABT1	495	771
m26597359	ABT1	940	469
m26597388	ABT1	1327	492
p26597221	ABT1	1689	1735
p26597240	ABT1	294	225
p26597266	ABT1	520	528
p26597293	ABT1	534	1045
p26597300	ABT1	669	385
p26597313	ABT1	378	323
p26597361	ABT1	492	360
m127395233	ABTB1	765	550
m127395403	ABTB1	765	2182
m127395808	ABTB1	1408	1592
m127395813	ABTB1	1368	1279
m127395855	ABTB1	1765	1327
m127395860	ABTB1	1404	2053
p127395220	ABTB1	1291	518
p127395242	ABTB1	1353	1655
p127395252	ABTB1	652	1348
p127395834	ABTB1	656	1442
m132378487	ACAD11	1310	1207
m132378519	ACAD11	719	639
m132378564	ACAD11	1657	2599
m132378578	ACAD11	789	810
p132378460	ACAD11	1294	1663
p132378489	ACAD11	1345	1522
p132378501	ACAD11	1432	1513
p132378525	ACAD11	1139	2025
p132378547	ACAD11	398	250
p132378566	ACAD11	713	1096
m128598565	ACAD9	4007	3584
m128598607	ACAD9	326	476
m128598614	ACAD9	2733	923
m128598631	ACAD9	446	699
m128598636	ACAD9	489	253
p128598519	ACAD9	921	393
p128598525	ACAD9	430	1624
p128598545	ACAD9	1072	706
p128598551	ACAD9	1776	2200
p128598592	ACAD9	791	821
m160183168	ACAT2	568	619
m160183956	ACAT2	2289	1422
m160183968	ACAT2	2875	3082
p160183107	ACAT2	1743	3058
p160183121	ACAT2	3564	2633
p160183133	ACAT2	1046	1292
p160183141	ACAT2	973	2007
p160183152	ACAT2	3365	4954
p160183940	ACAT2	41	39
p160183972	ACAT2	700	1177
m180471277	ACBD6	1321	827
m180471338	ACBD6	692	1002
m180471378	ACBD6	1241	864
p180471251	ACBD6	896	609
p180471256	ACBD6	877	1202
p180471263	ACBD6	441	371
p180471279	ACBD6	1081	808
p180471286	ACBD6	1482	749
p180471344	ACBD6	2207	2977
p180471350	ACBD6	1196	1451
m67694254	ACD	2606	3199
m67694260	ACD	2093	1708
m67694316	ACD	648	674
m67694376	ACD	1718	2069
p67694194	ACD	1841	2020
p67694285	ACD	874	1102
p67694333	ACD	249	449
p67694350	ACD	469	679
p67694355	ACD	1735	1603
p67694362	ACD	2113	2505
m100491721	ACHE	1307	991
m100491729	ACHE	1364	1276
m100491735	ACHE	2107	2308
m100491767	ACHE	1539	1648
m100491773	ACHE	257	395
m100491779	ACHE	473	883
m100491816	ACHE	603	592
p100491631	ACHE	1066	1230
p100491656	ACHE	2773	4492
p100491821	ACHE	606	579
m23535193	ACIN1	679	1012
m23538698	ACIN1	3158	1206
m23538715	ACIN1	531	727
m23538803	ACIN1	1692	272
m23538815	ACIN1	2350	1743
p23538701	ACIN1	270	192
p23538719	ACIN1	1128	1105
p23538730	ACIN1	1051	800
p23538735	ACIN1	45	0
p23538745	ACIN1	894	473
m40069993	ACLY	1801	1055
m40070008	ACLY	82	42
m40070029	ACLY	195	115
m40070097	ACLY	443	426
m40070116	ACLY	1961	1756
p40069998	ACLY	853	1039
p40070033	ACLY	960	223
p40070039	ACLY	141	629
p40070062	ACLY	326	221
p40070105	ACLY	887	1043
m41865159	ACO2	1351	659
m41895784	ACO2	1799	2344
m41895810	ACO2	2303	2170
m41895824	ACO2	463	1188
m41903807	ACO2	1371	1351
p41865164	ACO2	1056	852
p41895716	ACO2	641	842
p41895844	ACO2	596	1008
p41903797	ACO2	598	175
p41903813	ACO2	1887	1213
m264983	ACP1	2488	3262
m264989	ACP1	2780	2161
m272095	ACP1	785	1370
m272137	ACP1	1252	1058
p264954	ACP1	1473	2180
p272032	ACP1	2170	2224
p272042	ACP1	1412	1531
p272054	ACP1	245	784
p272099	ACP1	548	776
p272185	ACP1	1508	2250
m70811980	ACRC	706	1554
m70814198	ACRC	709	624
p70800656	ACRC	846	980
p70800697	ACRC	437	817
p70800703	ACRC	1648	931
p70800708	ACRC	3904	4302
p70811990	ACRC	1838	2827
p70814182	ACRC	2492	2331
p70814187	ACRC	1521	1582
p70814200	ACRC	1494	1929
m131326625	ACSL6	1422	1026
m131326630	ACSL6	1272	2201
m131326651	ACSL6	1691	2488
m131329874	ACSL6	2163	1428
m131329908	ACSL6	884	734
p131329816	ACSL6	1955	1719
p131329824	ACSL6	2121	725
p131329830	ACSL6	824	706
p131329859	ACSL6	515	533
p131329878	ACSL6	1583	2013
m33470722	ACSS2	859	662
m33500924	ACSS2	1683	1551
