sgRNA_id gene_id list adjusted_ratio
m52595977 A1CF list -1.972977
m52596017 A1CF list 0.224706
m52596056 A1CF list 0.571965
m52603842 A1CF list 1.461862
m52603847 A1CF list 1.027087
p52595870 A1CF list -0.994283
p52595881 A1CF list -0.494644
p52596023 A1CF list -0.131380
p52601638 A1CF list 1.528827
p52603829 A1CF list 0.648227
m53714382 AAAS list 1.229569
m53715169 AAAS list 1.346930
m53715176 AAAS list 0.926673
m53715212 AAAS list 0.766768
m53715238 AAAS list -1.096038
p53714367 AAAS list -0.449208
p53714374 AAAS list 0.202301
p53714391 AAAS list -0.169568
p53714405 AAAS list 0.337929
p53714441 AAAS list -0.684627
m69870049 AAK1 list 2.146300
m69870056 AAK1 list 1.173686
m69870103 AAK1 list -0.639633
m69870119 AAK1 list 0.145073
m69870125 AAK1 list 0.063724
m69870131 AAK1 list 1.478548
m69870137 AAK1 list 0.733161
p69870063 AAK1 list 1.828027
p69870070 AAK1 list -0.288588
p69870105 AAK1 list 0.314240
m35306444 AATF list -0.110277
m35306475 AATF list -1.435928
m35306482 AATF list -1.261826
m35306509 AATF list -0.835925
m35307516 AATF list -1.265367
m35307525 AATF list -0.606485
p35306410 AATF list -2.630324
p35306466 AATF list -1.074541
p35307505 AATF list -1.511234
p35307527 AATF list 0.193615
m79102275 AATK list -4.356983
m79102281 AATK list 0.797826
m79102298 AATK list -0.320313
m79102320 AATK list 1.258265
m79102325 AATK list -0.085001
p79102286 AATK list -0.537369
p79102311 AATK list -1.527698
p79104850 AATK list 0.264074
p79104858 AATK list -0.132660
p79104864 AATK list 0.109793
m150725643 ABCB8 list 1.230639
m150725669 ABCB8 list -0.966724
m150730720 ABCB8 list 0.091246
p150725600 ABCB8 list 0.457323
p150725605 ABCB8 list -1.812430
p150725612 ABCB8 list -1.089577
p150725675 ABCB8 list 2.072649
p150730680 ABCB8 list 0.129319
p150730705 ABCB8 list 0.747790
p150730712 ABCB8 list -0.194340
m16043636 ABCC1 list 0.512251
m16043645 ABCC1 list 0.536833
m16101705 ABCC1 list -0.130171
m16101777 ABCC1 list -0.748368
m16101788 ABCC1 list 0.117823
m16101799 ABCC1 list 0.470394
p16043597 ABCC1 list 0.368884
