group_id	#_items_in_group	lo_value	FDR
CDK10	10	1.3161e-15	0.000430
DRAP1	10	9.5002e-14	0.000430
BCR	10	1.6188e-09	0.000430
DR1	10	2.1896e-09	0.000430
RUNX1	10	2.5322e-09	0.000430
RPL3	93	6.3234e-09	0.000430
FBXW7	10	2.3704e-08	0.000430
ABL1	10	3.5338e-08	0.000430
RPL7L1	40	6.4452e-08	0.000430
RYBP	10	1.2066e-07	0.000430
SKA3	10	2.0056e-07	0.000430
MAU2	10	2.0410e-07	0.000430
STAT5B	10	2.3596e-07	0.001188
DSCC1	10	5.5487e-07	0.001707
IKZF2	10	6.1984e-07	0.001707
CCAR1	10	9.3941e-07	0.001980
RPRD1B	10	1.0463e-06	0.001980
CDK12	10	1.0904e-06	0.001980
ERG	10	1.6644e-06	0.003479
PPP6R1	10	2.3910e-06	0.005071
RPL37	22	2.4178e-06	0.005071
NIPBL	10	2.9425e-06	0.005296
MEN1	10	3.6482e-06	0.006821
METTL3	10	4.0521e-06	0.006912
IRF2BP2	10	4.0953e-06	0.006912
COASY	10	4.5761e-06	0.006912
PDE4DIP	10	4.5980e-06	0.006912
RPS5	44	8.7268e-06	0.013028
DCP2	10	9.2448e-06	0.013028
PSMD6	10	1.1576e-05	0.014600
CDK11A	10	1.7751e-05	0.020938
SSRP1	10	2.2221e-05	0.025685
ZFC3H1	10	2.2879e-05	0.025685
HSF1	10	2.2907e-05	0.025685
LYN	10	2.3368e-05	0.025685
KIAA1524	10	2.4518e-05	0.026635
UBE2E1	10	2.5726e-05	0.027804
METTL1	10	2.8812e-05	0.029452
RPL31	26	2.9452e-05	0.029452
RNASEH2C	10	2.9948e-05	0.029452
MAF1	10	3.2033e-05	0.030402
INO80	10	3.2259e-05	0.030402
MRE11A	10	3.2856e-05	0.030402
RPL36	23	4.1228e-05	0.038125
GPS1	10	4.6975e-05	0.039882
RPL19	46	4.8631e-05	0.039882
PWP2	10	4.8634e-05	0.039882
E2F3	10	5.0337e-05	0.039882
RPL11	34	5.1060e-05	0.039882
POLE4	10	5.3294e-05	0.039882
RPL27	21	5.3749e-05	0.039882
TIMELESS	10	5.4934e-05	0.039882
MTA2	10	5.5102e-05	0.039882
KIF18A	10	5.5625e-05	0.039882
PPP2R2A	10	5.7357e-05	0.040421
TADA3	10	6.7177e-05	0.046115
HNRNPD	10	7.0002e-05	0.047402
ANAPC15	10	7.3435e-05	0.047783
RPL7A	53	7.8622e-05	0.051367
RBM27	10	8.1021e-05	0.052084
ARID2	10	1.0307e-04	0.063415
ZC3H3	10	1.0598e-04	0.064079
TRMT61A	10	1.0685e-04	0.064079
TLK2	10	1.1672e-04	0.068400
SPEN	10	1.1756e-04	0.068400
SMG6	10	1.1841e-04	0.068400
TMEM40	10	1.3125e-04	0.073774
CWC27	10	1.3420e-04	0.074587
RPL13A	52	1.4070e-04	0.075811
RPS12	28	1.4346e-04	0.076003
TNPO1	10	1.4622e-04	0.076469
CPSF7	10	1.5047e-04	0.078308
GRB2	10	1.5970e-04	0.080505
RHOA	10	1.6209e-04	0.080892
ING5	10	1.8592e-04	0.090704
KCTD5	10	1.8840e-04	0.090814
PSMG2	10	2.3099e-04	0.105028
RPL17	28	2.3751e-04	0.106356
LSM10	10	3.1655e-04	0.133633
NOP16	10	3.2010e-04	0.133633
PPP1CB	10	3.2334e-04	0.133633
PHB	10	3.3158e-04	0.133692
PCGF5	10	3.4009e-04	0.133692
PPP2R4	10	3.4064e-04	0.133692
KAT2B	10	3.4171e-04	0.133692
RPL18	52	3.4661e-04	0.133692
ATXN7L3	10	3.8093e-04	0.146025
RPL5	44	3.8439e-04	0.146025
MAP2K5	10	4.0636e-04	0.151759
IMPDH2	10	4.1485e-04	0.152608
MPHOSPH8	10	4.3262e-04	0.154033
DNAJC2	10	4.3375e-04	0.154033
SUPV3L1	10	4.5302e-04	0.154055
CNOT2	10	4.5363e-04	0.154055
USP3	10	4.5670e-04	0.154055
BCL11A	10	4.6158e-04	0.154055
RPL23	26	4.6447e-04	0.154055
HMGCS1	10	4.8885e-04	0.159672
ANAPC7	10	4.9193e-04	0.159672
ACIN1	10	5.1000e-04	0.161815
MED23	10	5.1413e-04	0.161815
COPG1	10	5.2868e-04	0.164025
ATR	10	5.5719e-04	0.171601
KIAA2018	10	5.6589e-04	0.172048
NAA38	10	5.8920e-04	0.176939
HES4	10	6.1500e-04	0.180566
PPP6R3	10	6.1665e-04	0.180566
RPA1	10	6.1822e-04	0.180566
SETD7	10	6.2455e-04	0.180682
POLR2C	10	6.7023e-04	0.190651
MYCN	10	6.9374e-04	0.194301
CEP57	10	7.5542e-04	0.207921
CSNK2A1	10	7.9484e-04	0.213940
THRAP3	10	7.9971e-04	0.213940
ZBTB17	10	8.1899e-04	0.216309
TXNRD1	10	8.3600e-04	0.218979
ZNF592	10	8.4440e-04	0.219309
WDR12	10	8.6656e-04	0.222583
CHEK1	10	8.8823e-04	0.225718
BMS1	10	9.1316e-04	0.228051
C19orf40	10	9.1607e-04	0.228051
RBM12	10	9.7890e-04	0.240924
GTPBP10	10	9.9487e-04	0.242153
TLE3	10	1.0014e-03	0.242153
WT1	10	1.0075e-03	0.242197
CITED2	10	1.0181e-03	0.242750
USP39	10	1.0242e-03	0.242750
RBM14	10	1.0378e-03	0.242943
WDR43	10	1.0648e-03	0.247002
CSNK2A2	10	1.0724e-03	0.247002
KPNA4	10	1.0800e-03	0.247002
NAP1L5	10	1.0865e-03	0.247002
H2AFX	10	1.0978e-03	0.247002
NCOA2	10	1.1117e-03	0.247746
PSMB2	10	1.1121e-03	0.247746
COMMD5	10	1.1451e-03	0.252494
VCP	10	1.1638e-03	0.254996
PAK1IP1	10	1.2366e-03	0.269631
PAK2	10	1.2781e-03	0.273904
DDX19A	10	1.2800e-03	0.273904
CEP85	10	1.2872e-03	0.273904
CLTCL1	10	1.2979e-03	0.273904
