group_id	#_items_in_group	lo_value	FDR
CDK10	10	1.5481e-13	0.000762
DRAP1	10	1.2475e-11	0.000762
ABL1	10	1.1993e-09	0.000762
FBXW7	10	4.7505e-09	0.000762
RUNX1	10	1.1248e-08	0.000762
DR1	10	2.3074e-08	0.000762
RPL7L1	40	1.1400e-07	0.000762
BCR	10	1.4439e-07	0.001320
RPS5	44	3.4574e-07	0.001563
LYN	10	3.6178e-07	0.001563
SKA3	10	4.5540e-07	0.001980
MAF1	10	6.3571e-07	0.001980
NIPBL	10	6.3571e-07	0.001980
CCAR1	10	9.7859e-07	0.003756
CDK12	10	1.0713e-06	0.003756
RPL3	93	1.2459e-06	0.004152
ERG	10	1.8543e-06	0.007072
MAU2	10	1.8543e-06	0.007072
RYBP	10	2.4074e-06	0.008295
STAT5B	10	3.2874e-06	0.008452
PPP6R1	10	3.2874e-06	0.008452
IKZF2	10	3.6089e-06	0.009440
E2F3	10	5.2202e-06	0.013421
RPA1	10	7.0124e-06	0.017175
PCGF5	10	7.0124e-06	0.017175
KIAA1524	10	7.7355e-06	0.017278
MEN1	10	9.7043e-06	0.021062
CEP85	10	1.0815e-05	0.021062
DSCC1	10	1.4842e-05	0.025303
RPL7A	53	1.5591e-05	0.025303
SETD7	10	1.5659e-05	0.025303
GPS1	10	1.5876e-05	0.025303
RPL37	22	1.8425e-05	0.030008
RBM27	10	2.0045e-05	0.032067
ZFC3H1	10	2.2456e-05	0.035560
INO80	10	2.2459e-05	0.035560
GTPBP10	10	2.5020e-05	0.038655
RPRD1B	10	2.6791e-05	0.040528
RNASEH2C	10	2.9285e-05	0.042819
DCP2	10	3.5262e-05	0.053014
CSNK2A1	10	4.5551e-05	0.059520
POLE4	10	4.5551e-05	0.059520
WT1	10	4.5551e-05	0.059520
ZC3H3	10	4.5748e-05	0.059520
TADA3	10	4.7969e-05	0.060151
CDK11A	10	4.8372e-05	0.060151
COASY	10	4.9466e-05	0.060151
BCL2L1	10	6.9369e-05	0.076044
WDR43	10	6.9369e-05	0.076044
IRF2BP2	10	7.5646e-05	0.077541
COMMD5	10	7.5646e-05	0.077541
CSNK2A2	10	8.3921e-05	0.081188
USP3	10	8.3921e-05	0.081188
CCT5	10	9.4708e-05	0.085047
METTL3	10	9.4708e-05	0.085047
PPP2R2A	10	9.9364e-05	0.085047
ZNF592	10	9.9364e-05	0.085047
CPSF7	10	9.9364e-05	0.085047
SPEN	10	9.9364e-05	0.085047
MTA2	10	1.2259e-04	0.098614
KIF18A	10	1.2596e-04	0.098614
HSF1	10	1.2596e-04	0.098614
NAP1L5	10	1.2596e-04	0.098614
RPL18	52	1.6530e-04	0.125283
HNRNPD	10	1.7894e-04	0.128862
PSMD6	10	1.7894e-04	0.128862
CDKN1B	10	1.7894e-04	0.128862
CNOT3	10	1.9552e-04	0.137276
RBM10	10	1.9552e-04	0.137276
VBP1	10	2.0176e-04	0.137276
TNPO1	10	2.1326e-04	0.137276
MRE11A	10	2.1326e-04	0.137276
PDE4DIP	10	2.2106e-04	0.137276
METTL1	10	2.2258e-04	0.137276
RPS12	28	2.3175e-04	0.137276
GGNBP2	10	2.3651e-04	0.137276
GTF3A	10	2.3651e-04	0.137276
ANGPT2	10	2.5333e-04	0.137276
XPO6	10	2.7790e-04	0.137276
EXOSC1	10	2.7790e-04	0.137276
WBP4	10	2.7790e-04	0.137276
THRAP3	10	2.7790e-04	0.137276
RREB1	10	2.7790e-04	0.137276
SSRP1	10	2.7790e-04	0.137276
TSC1	10	2.7790e-04	0.137276
TMEM40	10	2.7790e-04	0.137276
RTEL1	10	2.7790e-04	0.137276
APEX2	10	2.7790e-04	0.137276
OAZ2	10	2.7790e-04	0.137276
AEN	10	2.7790e-04	0.137276
ATXN7L3	10	2.7790e-04	0.137276
KCTD5	10	2.7790e-04	0.137276
GRB2	10	2.7790e-04	0.137276
RPL5	44	2.9481e-04	0.145550
RPL27	21	3.0083e-04	0.147258
RPL36	23	3.2691e-04	0.154646
PDCD2	10	3.2878e-04	0.154646
MLL	10	3.2878e-04	0.154646
PIAS1	10	3.3120e-04	0.154646
RPL23	26	3.3558e-04	0.154883
PSMB2	10	3.4487e-04	0.155976
RPS21	19	3.5361e-04	0.155976
ZNF526	10	3.5532e-04	0.155976
MYCN	10	3.5532e-04	0.155976
ARID2	10	3.6175e-04	0.157989
FAM83G	10	3.8080e-04	0.164844
FANCM	10	4.0001e-04	0.171013
RPL31	26	4.4351e-04	0.182040
ZMIZ1	10	4.5490e-04	0.184286
CITED2	10	4.8621e-04	0.190359
MAP2K5	10	4.8621e-04	0.190359
CWC27	10	5.5860e-04	0.203115
BCL11A	10	5.5860e-04	0.203115
WDR12	10	5.6504e-04	0.203115
PSMD14	10	5.6504e-04	0.203115
MPHOSPH8	10	5.6504e-04	0.203115
NF1	10	5.6589e-04	0.203115
PDCD6IP	10	5.6589e-04	0.203115
TLK2	10	5.6589e-04	0.203115
LMO2	10	5.7079e-04	0.203115
RPL7	34	5.8456e-04	0.206277
PRKCH	10	6.5947e-04	0.224837
SMG6	10	6.5947e-04	0.224837
SOD1	10	6.5947e-04	0.224837
NUP155	10	7.0192e-04	0.233482
TADA2B	10	7.0192e-04	0.233482
ZNF609	10	7.8374e-04	0.254048
RNF4	10	7.8374e-04	0.254048
RPL11	34	8.3328e-04	0.266189
GABPB1	10	8.4345e-04	0.266189
PSMG2	10	8.4345e-04	0.266189
ZNF239	10	8.5824e-04	0.268607
TRMT61A	10	8.6989e-04	0.269270
RPL19	46	8.9683e-04	0.274669
PHF2	10	9.1996e-04	0.278222
KAT6A	10	1.0341e-03	0.306350
DHX38	10	1.0341e-03	0.306350
RRAGA	10	1.0753e-03	0.308199
ANAPC2	10	1.0753e-03	0.308199
TONSL	10	1.0753e-03	0.308199
PLK4	10	1.0753e-03	0.308199
NAA38	10	1.1189e-03	0.315187
PISD	10	1.1628e-03	0.315187
CEP57	10	1.1628e-03	0.315187
DHX8	10	1.1628e-03	0.315187
MED23	10	1.1628e-03	0.315187
ANXA11	10	1.1628e-03	0.315187
WTAP	10	1.1628e-03	0.315187
RPL17	28	1.1940e-03	0.317177
NHP2L1	10	1.2170e-03	0.317177
ZBTB17	10	1.2170e-03	0.317177
DDX19A	10	1.2170e-03	0.317177
EIF2AK4	10	1.2463e-03	0.317177
KIAA1324	10	1.2463e-03	0.317177
UBE2E1	10	1.2463e-03	0.317177
ZBTB7A	10	1.2527e-03	0.317177
ZNF34	10	1.2527e-03	0.317177
TKT	10	1.2527e-03	0.317177
C7orf25	10	1.4437e-03	0.345511
COPG1	10	1.4437e-03	0.345511
RAD23B	10	1.4437e-03	0.345511
DHX16	10	1.4437e-03	0.345511
EPHB3	10	1.4437e-03	0.345511
MAPRE1	10	1.4512e-03	0.345511
TMEM216	10	1.4512e-03	0.345511
COPS4	10	1.4952e-03	0.352996
BMS1	10	1.6691e-03	0.382966
MARK3	10	1.6691e-03	0.382966
R3HDM2	10	1.6691e-03	0.382966
KPNA4	10	1.7176e-03	0.385504
ILF2	10	1.7176e-03	0.385504
SUPV3L1	10	1.7176e-03	0.385504
DPP8	10	1.8348e-03	0.388198
PTPN11	10	1.8348e-03	0.388198
PWP2	10	1.8348e-03	0.388198
LSM4	10	1.8348e-03	0.388198
CDK13	10	1.8348e-03	0.388198
CEP70	10	1.8348e-03	0.388198
RHOA	10	1.8348e-03	0.388198
UTP3	10	1.8348e-03	0.388198
PPP1CC	10	1.9194e-03	0.388198
YBEY	10	1.9194e-03	0.388198
TPRKB	10	1.9194e-03	0.388198
C11orf84	10	1.9194e-03	0.388198
POLD3	10	1.9194e-03	0.388198
HNRNPA2B1	10	1.9194e-03	0.388198
NCOR2	10	1.9194e-03	0.388198
EDC4	10	1.9194e-03	0.388198
IRAK3	10	2.0702e-03	0.394460
NOP16	10	2.0702e-03	0.394460
AURKA	10	2.0702e-03	0.394460
SCAMP2	10	2.0702e-03	0.394460
HDX	10	2.0702e-03	0.394460
CNOT2	10	2.0702e-03	0.394460
CLK3	10	2.0702e-03	0.394460
HMGCS1	10	2.0702e-03	0.394460
TMEM192	10	2.0702e-03	0.394460
C19orf40	10	2.0702e-03	0.394460
PHB	10	2.0955e-03	0.394625
RPF2	10	2.0955e-03	0.394625
TUBGCP3	10	2.1918e-03	0.394757
RRP1B	10	2.1918e-03	0.394757
SIAH1	10	2.1918e-03	0.394757
DCTN4	10	2.2742e-03	0.394757
TXNIP	10	2.2742e-03	0.394757
TIMELESS	10	2.3079e-03	0.394757
PCGF1	10	2.3079e-03	0.394757
ANKRD42	10	2.3079e-03	0.394757
PRPF3	10	2.3079e-03	0.394757
ATR	10	2.3079e-03	0.394757
RPL30	15	2.4006e-03	0.394757
MGEA5	10	2.4222e-03	0.394757
NCOA2	10	2.4222e-03	0.394757
TAF13	10	2.4222e-03	0.394757
ZBTB1	10	2.4222e-03	0.394757
ZNF473	10	2.4222e-03	0.394757
PPP6R3	10	2.4222e-03	0.394757
TMEM130	10	2.4222e-03	0.394757
USP39	10	2.4222e-03	0.394757
PPP1CB	10	2.4222e-03	0.394757
ING5	10	2.4222e-03	0.394757
MAK16	10	2.4222e-03	0.394757
C18orf25	10	2.4222e-03	0.394757
SETMAR	10	2.4222e-03	0.394757
RBM12	10	2.4222e-03	0.394757
