gRNA	gene	list	value
m66791767	RPL4	list	104
m66791838	RPL4	list	63
m66791868	RPL4	list	2
m66791878	RPL4	list	130
m66791895	RPL4	list	152
m66791913	RPL4	list	138
m66791920	RPL4	list	90
m66791926	RPL4	list	76
m66791953	RPL4	list	42
m66791971	RPL4	list	4
m66791977	RPL4	list	7
m66792632	RPL4	list	43
m66793321	RPL4	list	91
m66793328	RPL4	list	172
m66793348	RPL4	list	67
m66793366	RPL4	list	156
m66793382	RPL4	list	70
m66793733	RPL4	list	1
m66793744	RPL4	list	104
m66793810	RPL4	list	6
m66794178	RPL4	list	157
m66794195	RPL4	list	117
m66794217	RPL4	list	130
m66794238	RPL4	list	111
m66794988	RPL4	list	128
m66795411	RPL4	list	59
m66795417	RPL4	list	174
m66795435	RPL4	list	119
m66795478	RPL4	list	147
m66795697	RPL4	list	50
m66795785	RPL4	list	90
m66795845	RPL4	list	73
p66791733	RPL4	list	99
p66791754	RPL4	list	113
p66791769	RPL4	list	69
p66791880	RPL4	list	169
p66791959	RPL4	list	5
p66792383	RPL4	list	76
p66792393	RPL4	list	99
p66792401	RPL4	list	190
p66792408	RPL4	list	23
p66792421	RPL4	list	164
p66792482	RPL4	list	32
p66792622	RPL4	list	114
p66792639	RPL4	list	54
p66792686	RPL4	list	112
p66793281	RPL4	list	143
p66793288	RPL4	list	27
p66793373	RPL4	list	21
p66793707	RPL4	list	27
p66793747	RPL4	list	61
p66793772	RPL4	list	157
p66793812	RPL4	list	85
p66794139	RPL4	list	165
p66794198	RPL4	list	27
p66794207	RPL4	list	101
p66794948	RPL4	list	116
p66794953	RPL4	list	62
p66794959	RPL4	list	134
p66794967	RPL4	list	20
p66794980	RPL4	list	149
p66795021	RPL4	list	109
p66795028	RPL4	list	83
p66795425	RPL4	list	106
p66795748	RPL4	list	72
p66795757	RPL4	list	185
p66795775	RPL4	list	55
p66795832	RPL4	list	35
m52595977	A1CF	list	14
m52596017	A1CF	list	119
m52596056	A1CF	list	119
m52603842	A1CF	list	181
m52603847	A1CF	list	140
p52595870	A1CF	list	27
p52595881	A1CF	list	54
p52596023	A1CF	list	82
p52601638	A1CF	list	190
p52603829	A1CF	list	129
m53714382	AAAS	list	169
m53715169	AAAS	list	189
m53715176	AAAS	list	154
m53715212	AAAS	list	138
m53715238	AAAS	list	49
p53714367	AAAS	list	60
p53714374	AAAS	list	95
p53714391	AAAS	list	88
p53714405	AAAS	list	130
p53714441	AAAS	list	39
m69870049	AAK1	list	195
m69870056	AAK1	list	182
m69870103	AAK1	list	41
m69870119	AAK1	list	92
m69870125	AAK1	list	105
m69870131	AAK1	list	186
m69870137	AAK1	list	142
p69870063	AAK1	list	190
p69870070	AAK1	list	60
p69870105	AAK1	list	114
m35306444	AATF	list	60
m35306475	AATF	list	29
m35306482	AATF	list	37
m35306509	AATF	list	74
m35307516	AATF	list	32
m35307525	AATF	list	65
p35306410	AATF	list	3
p35306466	AATF	list	16
p35307505	AATF	list	13
p35307527	AATF	list	116
m79102275	AATK	list	1
m79102281	AATK	list	171
m79102298	AATK	list	79
m79102320	AATK	list	190
m79102325	AATK	list	87
p79102286	AATK	list	41
p79102311	AATK	list	30
p79104850	AATK	list	102
p79104858	AATK	list	76
p79104864	AATK	list	110
m150725643	ABCB8	list	181
m150725669	ABCB8	list	42
m150730720	ABCB8	list	97
p150725600	ABCB8	list	156
p150725605	ABCB8	list	7
p150725612	ABCB8	list	25
p150725675	ABCB8	list	197
p150730680	ABCB8	list	86
p150730705	ABCB8	list	167
p150730712	ABCB8	list	94
m16043636	ABCC1	list	128
m16043645	ABCC1	list	148
m16101705	ABCC1	list	100
m16101777	ABCC1	list	28
m16101788	ABCC1	list	113
m16101799	ABCC1	list	145
p16043597	ABCC1	list	110
p16101667	ABCC1	list	158
p16101710	ABCC1	list	118
p16101721	ABCC1	list	187
m30539291	ABCF1	list	188
p30539251	ABCF1	list	111
p30539272	ABCF1	list	95
p30545181	ABCF1	list	160
p30545587	ABCF1	list	32
p30545605	ABCF1	list	58
p30545610	ABCF1	list	37
p30545638	ABCF1	list	128
p30545878	ABCF1	list	7
p30545888	ABCF1	list	42
m52004073	ABHD14B	list	87
m52004106	ABHD14B	list	47
m52004113	ABHD14B	list	20
m52004122	ABHD14B	list	161
p52004005	ABHD14B	list	133
p52004011	ABHD14B	list	134
p52004019	ABHD14B	list	141
p52004061	ABHD14B	list	53
p52004076	ABHD14B	list	22
p52004124	ABHD14B	list	172
m27149710	ABI1	list	21
m27149743	ABI1	list	139
m27149751	ABI1	list	50
m27149764	ABI1	list	147
p27112164	ABI1	list	128
